,5% Burnup,25% Burnup,50% Burnup,75% Burnup,95% Burnup
Sm-154,6.4752e-07,1.6841e-06,3.9631e-06,6.0075e-06,7.4367e-06
Sm-155,6.9117e-40,7.7627e-40,5.3024e-40,8.0552e-40,8.9985e-40
Sm-156,9.6589e-11,1.1979e-10,8.5012e-11,1.2930e-10,1.4605e-10
Eu-147,1.7513e-21,4.3494e-21,3.2009e-21,3.3706e-21,5.1974e-21
Eu-149,4.3313e-18,1.4062e-17,2.2128e-17,2.6555e-17,3.4409e-17
Eu-150,3.9095e-17,7.9869e-16,2.0981e-16,5.8226e-14,5.1870e-14
Eu-151,7.0319e-10,1.0781e-09,1.0311e-09,1.4707e-09,1.6070e-09
Eu-152,4.1271e-10,1.1169e-09,1.2844e-09,1.5710e-09,1.9943e-09
Eu-152m,2.1199e-17,3.4384e-17,2.0541e-17,3.1087e-17,3.5096e-17
Eu-152m,9.1916e-24,1.4712e-23,8.7741e-24,1.3374e-23,1.4732e-23
Eu-153,1.4895e-06,4.6305e-06,1.3750e-05,2.2024e-05,2.4268e-05
Eu-154,9.5207e-08,5.6620e-07,1.7365e-06,3.7492e-06,5.1577e-06
Eu-154m,1.3963e-26,4.1542e-26,1.0347e-25,1.7978e-25,2.6105e-25
Eu-155,1.1589e-07,2.5192e-07,7.1761e-07,1.1114e-06,1.4272e-06
Eu-156,1.0352e-07,2.3096e-07,5.3730e-07,8.0187e-07,1.3037e-06
Eu-157,2.3209e-10,3.4483e-10,2.9007e-10,4.2483e-10,5.5522e-10
Eu-158,2.5436e-25,3.5414e-25,2.7632e-25,4.5195e-25,5.2481e-25
Eu-159,6.7527e-48,1.0261e-47,8.2691e-48,1.3795e-47,1.6258e-47
Gd-149,8.9340e-23,1.7735e-22,9.5487e-23,1.1848e-22,1.8180e-22
Gd-151,7.6334e-19,3.0397e-18,4.9647e-18,1.7239e-16,5.8317e-17
Gd-152,4.1083e-13,2.5120e-12,9.5941e-12,1.0991e-11,1.5806e-11
Gd-153,1.2054e-14,1.5723e-13,8.2996e-13,1.1422e-12,1.8104e-12
Gd-153m,1.8065e-33,3.9498e-33,1.6307e-33,2.6727e-33,3.6584e-33
Gd-154,5.8388e-10,6.3123e-09,4.8709e-08,1.3010e-07,2.6460e-07
Gd-155,6.5435e-10,1.6569e-09,3.8979e-09,8.6573e-09,1.1992e-08
Gd-156,2.4288e-07,1.0371e-06,5.2793e-06,1.2889e-05,1.9607e-05
Gd-157,5.4670e-09,1.1016e-08,9.1111e-09,2.0704e-08,2.6943e-08
Gd-158,1.2480e-07,4.7695e-07,1.3300e-06,2.8254e-06,4.8639e-06
Gd-159,8.5112e-11,1.3925e-10,1.2205e-10,1.8807e-10,4.8368e-10
Gd-160,6.9270e-09,2.5787e-08,8.3926e-08,1.4350e-07,1.8707e-07
Tb-151,1.8328e-25,4.5681e-25,2.0548e-25,2.0773e-25,3.0673e-25
Tb-153,3.1948e-21,6.9855e-21,2.8840e-21,4.7269e-21,6.4701e-21
Tb-155,4.4501e-18,8.4607e-18,4.1598e-18,5.8541e-18,8.6196e-18
Tb-156,7.8460e-17,1.4457e-16,7.8016e-17,1.0325e-16,1.4962e-16
Tb-156m,3.8743e-19,8.0958e-19,4.1502e-19,5.5577e-19,7.3024e-19
Tb-157,8.0339e-15,3.0771e-14,9.1383e-14,1.4391e-13,1.7872e-13
Tb-158,7.8532e-14,3.3956e-13,9.1975e-13,1.5907e-11,1.0565e-11
Tb-159,1.6831e-08,6.1269e-08,1.9999e-07,3.7210e-07,4.4600e-07
Tb-160,2.5664e-10,1.5013e-09,5.2001e-09,1.4337e-08,1.9067e-08
Tb-161,4.4621e-10,8.7654e-10,1.0942e-09,1.4534e-09,2.0427e-09
Tb-163,9.7171e-47,1.4455e-46,8.7637e-47,1.5021e-46,1.7965e-46
Dy-155,6.9706e-24,1.7295e-23,8.6766e-24,6.0174e-24,1.0089e-23
